stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
611,id=611_genre=popular_c-id=188_e-id=28_ic_category_1.wav,9eeeadb0d4300ccf49e828d6e1484ae525321cf96119575a1930ec664936c572,1764124,2,2,44100,441020
612,id=612_genre=popular_c-id=134_e-id=7_ic_category_1.wav,13b271d0e7e0b959cf61f562e9025fa63a476efec0067f61f87f7f078d163603,1764124,2,2,44100,441020
613,id=613_genre=popular_c-id=596_e-id=22_ic_category_1.wav,7d3240591768ea08cae1781e2c0214bb507f0b9194440550ada90c1249b671ee,1764124,2,2,44100,441020
614,id=614_genre=popular_c-id=457_e-id=9_ic_category_1.wav,e3285db11b3588ab4929c0a4d2b7e5b7d3eaaabd54e59e2f28e6bfa4ecc683ea,1764124,2,2,44100,441020
615,id=615_genre=popular_c-id=187_e-id=59_ic_category_1.wav,c8241be84fb6f8d69d8b1f268c59c14cdc4d685386688f7cecefbe1b58ce6de4,1764124,2,2,44100,441020
616,id=616_genre=popular_c-id=248_e-id=27_ic_category_1.wav,6efa7cecb51cbc0354a22554112c54b6fd040771fc7d97ef226c7bc45aa15d9f,1764124,2,2,44100,441020
617,id=617_genre=popular_c-id=130_e-id=35_ic_category_1.wav,462bc224c94c0c941819bd937b2d2bb1e1f79a67d5cb44606a553e31e596480c,1764124,2,2,44100,441020
618,id=618_genre=popular_c-id=521_e-id=78_ic_category_1.wav,93f77d45e12e7cdde0cd1d4457e43070db53d3932a4984de4a2356f6e52935db,1764124,2,2,44100,441020
619,id=619_genre=popular_c-id=711_e-id=12_ic_category_1.wav,02a44006b1f4b8d2d2c68de2396ccfa319b2365809a5457ad66237155b01b5de,1764124,2,2,44100,441020
620,id=620_genre=popular_c-id=528_e-id=115_ic_category_1.wav,bf76fcabcdaa401b3086d1883fd40304f720595f14871ddf6358a9acffdd738d,1764124,2,2,44100,441020
621,id=621_genre=popular_c-id=164_e-id=35_ic_category_1.wav,e0c094c80abb42a8ce44521775f5c0f4841491379adced8ddfbec5c41730b268,1764124,2,2,44100,441020
622,id=622_genre=popular_c-id=190_e-id=78_ic_category_1.wav,eb33a1f70e0662852364c46050205b0d2222e9e20216f8e7b1d250dcb677ef14,1764124,2,2,44100,441020
623,id=623_genre=popular_c-id=267_e-id=70_ic_category_1.wav,de0c1f060e7c2abf78b1712d0c9cea86a65b885a93ca682edb2c7a1f4da06ba3,1764124,2,2,44100,441020
624,id=624_genre=popular_c-id=428_e-id=81_ic_category_1.wav,97d5b13a1d9f7d7dcf422873bc874719f8c15bd7eabe3b5b7ba466725cec619d,1764124,2,2,44100,441020
625,id=625_genre=popular_c-id=440_e-id=5_ic_category_1.wav,5f4df8e22f1db2665ea959323f8e10e85f4e08d9a94517c014b13c0f2253b09f,1764124,2,2,44100,441020
626,id=626_genre=popular_c-id=692_e-id=65_ic_category_1.wav,97c711cbe8e62a5a47c1b1d3bc905f0a12c17e0957806f222a15a6af8e61fdec,1764124,2,2,44100,441020
627,id=627_genre=popular_c-id=468_e-id=49_ic_category_1.wav,161933fc58ae85661b4c4dc0cd871faff6551b1034fda056853701f36c4c9386,1764124,2,2,44100,441020
628,id=628_genre=popular_c-id=184_e-id=22_ic_category_1.wav,7c1170aafc3eca69f77311a03f2fdf90d41ff2cfa72d6822df53c548e228f189,1764124,2,2,44100,441020
629,id=629_genre=popular_c-id=114_e-id=50_ic_category_1.wav,456b371d51069bbfa8e871ac076bfaa41d24d0c598085574f18050fa37bd20a2,1764124,2,2,44100,441020
